SID,Last_successful,Error,Prompt,After_prompt,IHC_single,IHC_double,FHC_single,FHC_double,Special_count,Note,hundred-syntax,Exclude,Exclude_reason,Validated,raw-count
070518-SWH-21,39,NA,40,45,39,39,39,39,,,,0,,RMS,"1-26, 23, [wca 26], 27-36, 33 [wca 36], 37-39 [wca 39] [40 comes after 39] 45, 46, 48, 49"
070618-SWH-22,140,NA,NA,NA,140,140,140,140,,,read out digit for 101 (one zero one),0,,RMS,"1-29(27, 28 in yee sup 7 yee sup 8, other use ""ya""),... 40, 31, 32, 43, 44-100, [do you know wca 100?] 101-140(read out digit format)"
070618-SWH-23,29,31,30,20,29,29,29,29,,,,0,,RMS,"1-29, 31, 32 [wca 29? after 29 comes...] 22, [30] 20"
070618-SWH-24,65,67,66,67,65,65,105,105,,,,0,,RMS,
070618-SWH-24,69,50,70,71,65,65,105,105,,,dropped 0 for 101 (1 bak 1); E provided correct label (1 bak zero 1) but kid got mixed up at 106 and said 1-0-bak-6 (should be 1-bak-0-6),0,,RMS,"1-59, 60-65, 67, [wca 65] [66] 67-69, 50, [70], 71-79, 70, [80], 81-89, 70, [90], 91-99, 60, [100] 101 but ""1 bak 1"" [E repeated but pronounced 1 bak 0 1, with 0, kinda like ""and"" in Eng] 101 - 105, 1-0-bak-6, [106], 1-0-bak-7 "
070618-SWH-24,79,70,80,81,65,65,105,105,,,,0,,RMS,
070618-SWH-24,89,70,90,91,65,65,105,105,,,,0,,RMS,
070618-SWH-24,99,60,100,101,65,65,105,105,,,,0,,RMS,
070618-SWH-24,105,1086,106,IDK,65,65,105,105,,,,0,,RMS,
070618-SWH-25,144,NA,NA,NA,144,144,144,144,,,dropped 0 for 101,0,,RMS,"1-100 [wca 100] 101 (drop 0) but repeated with correct pronunciation, 101-132, 131, [132], 133-140"
070618-SWH-26,100,200,101,102,100,100,109,109,,,101 provided by E; dropped ten for 110 (1 bak 1 should be 1-bak-1-ten),0,,RMS,"1-69, 72, [wca 69], 70-100, 200, [101], 101-109 [110], 110, 1 bak 1, 1 bak 2, [wca 110] 1 bak 4 [wca 110; kid sounded like he's ignoring E. E repeated wca 110 a few times] [wca 110] NR "
070618-SWH-26,109,NA,110,101,100,100,109,109,,,,0,,RMS,
070518-SWH-27,19,32,20,21,19,19,109,109,,,,0,,RMS,
070518-SWH-27,48,90,49,50,19,19,109,109,,,dropped 0 for 101 (1 bak 1),0,,RMS,"1-22, 23, 24, [E interrupted bc couldn't hear but kid was right], 14 - 19 (PC thinks kid meant 24-29 bc kid continued w 30 and 31), 30, 31, [wca 19] 32 [20], 21-48, 90, [wca 48], 70 [49] 50-59, 90, [60], 61-65, said-something-begins-w-20, 67-69, 90, [wca 65] 69 [66], 66-69, 90 [70], 71-99, 10, [100], 1 bak 1, 1 bak 2 - 1 bak 9 [110] 110, 18"
070518-SWH-27,59,90,60,61,19,19,109,109,,,,0,,RMS,
070518-SWH-27,65,20...,66,67,19,19,109,109,,,,0,,RMS,
070518-SWH-27,69,90,70,71,19,19,109,109,,,,0,,RMS,
070518-SWH-27,99,10,100,101,19,19,109,109,,,,0,,RMS,
070518-SWH-28,59,56,60,61,59,59,68,68,,,,0,,RMS,"1-59, 56, [60], 61-68, 70, [69] DK"
070518-SWH-28,68,70,69,IDK,59,59,68,68,,,,0,,RMS,
070618-SWH-29,11,IDK,12,NR,11,11,11,11,,,,0,,RMS,"1-10, [wca 10] 11, [12], "
070618-SWH-31,100,IDK,101,102,100,100,109,109,,,101 provided by E; replaced 1 with 0 for 110 (1 bak zero ten should be 1 bak 1 ten),0,,RMS,"1-39,50,[wca 39] 40-100 [101] 101-105, 110 (""1 bak 0 sup"") [105] 106-109 [110] 1 bak 1 sup 1 qin"
070618-SWH-31,109,IDK,110,100-one-ten-1000,100,100,109,109,,,,0,,RMS,
070518-SWH-32,59,70,60,61,59,59,109,109,,,dropped 0 for 101 (1 bak 1),0,,RMS,"1-59, 70, [60], 61-99 [100], 101-109 (but 1 bak 1-1 bak 9) [wca 1 bak 9] [110] 1 bak 2"
070518-SWH-32,99,NA,100,101,59,59,109,109,,,,0,,RMS,
070518-SWH-32,109,11,110,102,59,59,109,109,,,,0,,RMS,
070618-SWH-33,140,NA,NA,NA,140,140,140,140,,,read out digit for 101+ (1-zero-1,0,,RMS,"1-54, 56, 57, 58, [wca 55, wrong prompt but I think ok?], 56-100, 101-140 (but read out from 101 to 140, 101 = 1-zero-1)"
070618-SWH-34,39,20,40,41,39,39,79,79,,,,0,,RMS,"1-39, 20, [40] 41-50 [50], 51-59, 50, [60], 61-69 [wca 69] 50, [70] 71-79, 50, [80]"
070618-SWH-34,59,50,60,61,39,39,79,79,,,,0,,RMS,
070618-SWH-34,69,50,70,71,39,39,79,79,,,,0,,RMS,
070618-SWH-34,79,50,80,NR,39,39,79,79,,,,0,,RMS,
070518-SWH-35,77,74,78,79,77,77,105,105,,,,0,,RMS,"1-77, 74, [wca 77] 75, [78], 79-100, DK, [101] 101-104, 108 [104], 105, 104, [wca 105] 104 [106], 106, 105"
070518-SWH-35,100,IDK,101,102,77,77,105,105,,,,0,,RMS,
070518-SWH-35,105,104,106,105,77,77,105,105,,,,0,,RMS,
070618-SWH-36,59,IDK,60,61,59,59,99,99,,,,0,,RMS,"1-59, [60] 61-69, [70] 71-79, [80] 81-89 [90] 91-99 [100] DK"
070618-SWH-36,69,IDK,70,71,59,59,99,99,,,,0,,RMS,
070618-SWH-36,79,IDK,80,81,59,59,99,99,,,,0,,RMS,
070618-SWH-36,89,IDK,90,91,59,59,99,99,,,,0,,RMS,
070618-SWH-36,99,IDK,100,IDK,59,59,99,99,,,,0,,RMS,
